UserID,RoleID,AssignedAt
1,1,"2026-06-01T22:27:39.4942033"
2,1,"2026-06-01T22:27:39.4942033"
3,1,"2026-06-01T22:27:39.4942033"
4,3,"2026-06-01T22:27:39.4942033"
5,3,"2026-06-01T22:27:39.4942033"
6,3,"2026-06-01T22:27:39.4942033"
7,3,"2026-06-01T22:27:39.4942033"
8,3,"2026-06-01T22:27:39.4942033"
9,2,"2026-06-01T22:27:39.4942033"
10,2,"2026-06-01T22:27:39.4942033"
11,2,"2026-06-01T22:27:39.4942033"
12,2,"2026-06-01T22:27:39.4942033"
13,2,"2026-06-01T22:27:39.4942033"
14,2,"2026-06-01T22:27:39.4942033"
15,2,"2026-06-01T22:27:39.4942033"
16,2,"2026-06-01T22:27:39.4942033"
17,2,"2026-06-01T22:27:39.4942033"
18,2,"2026-06-01T22:27:39.4942033"
19,2,"2026-06-01T22:27:39.4942033"
20,2,"2026-06-01T22:27:39.4942033"
21,2,"2026-06-01T22:27:39.4942033"
22,2,"2026-06-01T22:27:39.4942033"
23,2,"2026-06-01T22:27:39.4942033"
24,2,"2026-06-01T22:27:39.4942033"
25,2,"2026-06-01T22:27:39.4942033"
26,2,"2026-06-01T22:27:39.4942033"
27,2,"2026-06-01T22:27:39.4942033"
28,2,"2026-06-01T22:27:39.4942033"
29,2,"2026-06-01T22:27:39.4942033"
30,2,"2026-06-01T22:27:39.4942033"
31,2,"2026-06-01T22:27:39.4942033"
32,2,"2026-06-01T22:27:39.4942033"
33,2,"2026-06-01T22:27:39.4942033"
34,2,"2026-06-01T22:27:39.4942033"
35,2,"2026-06-01T22:27:39.4942033"
36,2,"2026-06-01T22:27:39.4942033"
37,4,"2026-06-01T22:27:39.4942033"
38,4,"2026-06-01T22:27:39.4942033"
39,4,"2026-06-01T22:27:39.4942033"
40,4,"2026-06-01T22:27:39.4942033"
41,4,"2026-06-01T22:27:39.4942033"
42,4,"2026-06-01T22:27:39.4942033"
43,4,"2026-06-01T22:27:39.4942033"
44,4,"2026-06-01T22:27:39.4942033"
45,4,"2026-06-01T22:27:39.4942033"
46,4,"2026-06-01T22:27:39.4942033"
47,4,"2026-06-01T22:27:39.4942033"
48,4,"2026-06-01T22:27:39.4942033"
49,4,"2026-06-01T22:27:39.4942033"
50,4,"2026-06-01T22:27:39.4942033"
51,4,"2026-06-01T22:27:39.4942033"
52,5,"2026-06-01T22:27:39.4942033"
53,5,"2026-06-01T22:27:39.4942033"
54,5,"2026-06-01T22:27:39.4942033"
55,5,"2026-06-01T22:27:39.4942033"
56,5,"2026-06-01T22:27:39.4942033"
57,5,"2026-06-01T22:27:39.4942033"
58,5,"2026-06-01T22:27:39.4942033"
59,5,"2026-06-01T22:27:39.4942033"
60,5,"2026-06-01T22:27:39.4942033"
61,5,"2026-06-01T22:27:39.4942033"
62,5,"2026-06-01T22:27:39.4942033"
63,5,"2026-06-01T22:27:39.4942033"
64,5,"2026-06-01T22:27:39.4942033"
65,5,"2026-06-01T22:27:39.4942033"
66,5,"2026-06-01T22:27:39.4942033"
67,5,"2026-06-01T22:27:39.4942033"
68,5,"2026-06-01T22:27:39.4942033"
69,5,"2026-06-01T22:27:39.4942033"
70,5,"2026-06-01T22:27:39.4942033"
71,5,"2026-06-01T22:27:39.4942033"
72,5,"2026-06-01T22:27:39.4942033"
73,5,"2026-06-01T22:27:39.4942033"
74,5,"2026-06-01T22:27:39.4942033"
75,5,"2026-06-01T22:27:39.4942033"
