"UserID","RoleID","AssignedAt"
"1","1","6/1/2026 10:27:39 PM"
"2","1","6/1/2026 10:27:39 PM"
"3","1","6/1/2026 10:27:39 PM"
"4","3","6/1/2026 10:27:39 PM"
"5","3","6/1/2026 10:27:39 PM"
"6","3","6/1/2026 10:27:39 PM"
"7","3","6/1/2026 10:27:39 PM"
"8","3","6/1/2026 10:27:39 PM"
"9","2","6/1/2026 10:27:39 PM"
"10","2","6/1/2026 10:27:39 PM"
"11","2","6/1/2026 10:27:39 PM"
"12","2","6/1/2026 10:27:39 PM"
"13","2","6/1/2026 10:27:39 PM"
"14","2","6/1/2026 10:27:39 PM"
"15","2","6/1/2026 10:27:39 PM"
"16","2","6/1/2026 10:27:39 PM"
"17","2","6/1/2026 10:27:39 PM"
"18","2","6/1/2026 10:27:39 PM"
"19","2","6/1/2026 10:27:39 PM"
"20","2","6/1/2026 10:27:39 PM"
"21","2","6/1/2026 10:27:39 PM"
"22","2","6/1/2026 10:27:39 PM"
"23","2","6/1/2026 10:27:39 PM"
"24","2","6/1/2026 10:27:39 PM"
"25","2","6/1/2026 10:27:39 PM"
"26","2","6/1/2026 10:27:39 PM"
"27","2","6/1/2026 10:27:39 PM"
"28","2","6/1/2026 10:27:39 PM"
"29","2","6/1/2026 10:27:39 PM"
"30","2","6/1/2026 10:27:39 PM"
"31","2","6/1/2026 10:27:39 PM"
"32","2","6/1/2026 10:27:39 PM"
"33","2","6/1/2026 10:27:39 PM"
"34","2","6/1/2026 10:27:39 PM"
"35","2","6/1/2026 10:27:39 PM"
"36","2","6/1/2026 10:27:39 PM"
"37","4","6/1/2026 10:27:39 PM"
"38","4","6/1/2026 10:27:39 PM"
"39","4","6/1/2026 10:27:39 PM"
"40","4","6/1/2026 10:27:39 PM"
"41","4","6/1/2026 10:27:39 PM"
"42","4","6/1/2026 10:27:39 PM"
"43","4","6/1/2026 10:27:39 PM"
"44","4","6/1/2026 10:27:39 PM"
"45","4","6/1/2026 10:27:39 PM"
"46","4","6/1/2026 10:27:39 PM"
"47","4","6/1/2026 10:27:39 PM"
"48","4","6/1/2026 10:27:39 PM"
"49","4","6/1/2026 10:27:39 PM"
"50","4","6/1/2026 10:27:39 PM"
"51","4","6/1/2026 10:27:39 PM"
"52","5","6/1/2026 10:27:39 PM"
"53","5","6/1/2026 10:27:39 PM"
"54","5","6/1/2026 10:27:39 PM"
"55","5","6/1/2026 10:27:39 PM"
"56","5","6/1/2026 10:27:39 PM"
"57","5","6/1/2026 10:27:39 PM"
"58","5","6/1/2026 10:27:39 PM"
"59","5","6/1/2026 10:27:39 PM"
"60","5","6/1/2026 10:27:39 PM"
"61","5","6/1/2026 10:27:39 PM"
"62","5","6/1/2026 10:27:39 PM"
"63","5","6/1/2026 10:27:39 PM"
"64","5","6/1/2026 10:27:39 PM"
"65","5","6/1/2026 10:27:39 PM"
"66","5","6/1/2026 10:27:39 PM"
"67","5","6/1/2026 10:27:39 PM"
"68","5","6/1/2026 10:27:39 PM"
"69","5","6/1/2026 10:27:39 PM"
"70","5","6/1/2026 10:27:39 PM"
"71","5","6/1/2026 10:27:39 PM"
"72","5","6/1/2026 10:27:39 PM"
"73","5","6/1/2026 10:27:39 PM"
"74","5","6/1/2026 10:27:39 PM"
"75","5","6/1/2026 10:27:39 PM"
"76","5","6/1/2026 10:27:39 PM"
"77","5","6/1/2026 10:27:39 PM"
"78","5","6/1/2026 10:27:39 PM"
"79","5","6/1/2026 10:27:39 PM"
"80","5","6/1/2026 10:27:39 PM"
"81","5","6/1/2026 10:27:39 PM"
"82","5","6/1/2026 10:27:39 PM"
"83","5","6/1/2026 10:27:39 PM"
"84","5","6/1/2026 10:27:39 PM"
"85","5","6/1/2026 10:27:39 PM"
"86","5","6/1/2026 10:27:39 PM"
"87","5","6/1/2026 10:27:39 PM"
"88","5","6/1/2026 10:27:39 PM"
"89","5","6/1/2026 10:27:39 PM"
"90","5","6/1/2026 10:27:39 PM"
"91","5","6/1/2026 10:27:39 PM"
"92","5","6/1/2026 10:27:39 PM"
"93","5","6/1/2026 10:27:39 PM"
"94","5","6/1/2026 10:27:39 PM"
"95","5","6/1/2026 10:27:39 PM"
"96","5","6/1/2026 10:27:39 PM"
"97","5","6/1/2026 10:27:39 PM"
"98","5","6/1/2026 10:27:39 PM"
"99","5","6/1/2026 10:27:39 PM"
"100","5","6/1/2026 10:27:39 PM"
"101","5","6/1/2026 10:27:39 PM"
"102","5","6/1/2026 10:27:39 PM"
"103","5","6/1/2026 10:27:39 PM"
"104","5","6/1/2026 10:27:39 PM"
"105","5","6/1/2026 10:27:39 PM"
"106","5","6/1/2026 10:27:39 PM"
"107","5","6/1/2026 10:27:39 PM"
"108","5","6/1/2026 10:27:39 PM"
"109","5","6/1/2026 10:27:39 PM"
"110","5","6/1/2026 10:27:39 PM"
"111","5","6/1/2026 10:27:39 PM"
"112","5","6/1/2026 10:27:39 PM"
"113","5","6/1/2026 10:27:39 PM"
"114","5","6/1/2026 10:27:39 PM"
"115","5","6/1/2026 10:27:39 PM"
"116","5","6/1/2026 10:27:39 PM"
"117","5","6/1/2026 10:27:39 PM"
"118","5","6/1/2026 10:27:39 PM"
"119","5","6/1/2026 10:27:39 PM"
"120","5","6/1/2026 10:27:39 PM"
"121","5","6/1/2026 10:27:39 PM"
"122","5","6/1/2026 10:27:39 PM"
"123","5","6/1/2026 10:27:39 PM"
"124","5","6/1/2026 10:27:39 PM"
"125","5","6/1/2026 10:27:39 PM"
"126","5","6/1/2026 10:27:39 PM"
"127","5","6/1/2026 10:27:39 PM"
"128","5","6/1/2026 10:27:39 PM"
"129","5","6/1/2026 10:27:39 PM"
"130","5","6/1/2026 10:27:39 PM"
"131","5","6/1/2026 10:27:39 PM"
"132","5","6/1/2026 10:27:39 PM"
"133","5","6/1/2026 10:27:39 PM"
"134","5","6/1/2026 10:27:39 PM"
"135","5","6/1/2026 10:27:39 PM"
"136","5","6/1/2026 10:27:39 PM"
"137","5","6/1/2026 10:27:39 PM"
"138","5","6/1/2026 10:27:39 PM"
"139","5","6/1/2026 10:27:39 PM"
"140","5","6/1/2026 10:27:39 PM"
"141","5","6/1/2026 10:27:39 PM"
"142","5","6/1/2026 10:27:39 PM"
"143","5","6/1/2026 10:27:39 PM"
"144","5","6/1/2026 10:27:39 PM"
"145","5","6/1/2026 10:27:39 PM"
"146","5","6/1/2026 10:27:39 PM"
"147","5","6/1/2026 10:27:39 PM"
"148","5","6/1/2026 10:27:39 PM"
"149","5","6/1/2026 10:27:39 PM"
"150","5","6/1/2026 10:27:39 PM"
"151","5","6/1/2026 10:27:39 PM"
"152","5","6/1/2026 10:27:39 PM"
"153","5","6/1/2026 10:27:39 PM"
"154","5","6/1/2026 10:27:39 PM"
"155","5","6/1/2026 10:27:39 PM"
"156","5","6/1/2026 10:27:39 PM"
"157","5","6/1/2026 10:27:39 PM"
"158","5","6/1/2026 10:27:39 PM"
