"FranchiseID","StationID","ContractID","AssignedAt"
"1","3","1","6/1/2026 10:27:39 PM"
"1","8","1","6/1/2026 10:27:39 PM"
"1","17","1","6/1/2026 10:27:39 PM"
"1","28","1","6/1/2026 10:27:39 PM"
"1","38","1","6/1/2026 10:27:39 PM"
"1","48","1","6/1/2026 10:27:39 PM"
"1","49","1","6/1/2026 10:27:39 PM"
"1","53","1","6/1/2026 10:27:39 PM"
"1","54","1","6/1/2026 10:27:39 PM"
"1","59","1","6/1/2026 10:27:39 PM"
"1","68","1","6/1/2026 10:27:39 PM"
"1","74","1","6/1/2026 10:27:39 PM"
"1","80","1","6/1/2026 10:27:39 PM"
"1","89","1","6/1/2026 10:27:39 PM"
"1","98","1","6/1/2026 10:27:39 PM"
"1","99","1","6/1/2026 10:27:39 PM"
"2","1","2","6/1/2026 10:27:39 PM"
"2","2","2","6/1/2026 10:27:39 PM"
"2","7","2","6/1/2026 10:27:39 PM"
"2","11","2","6/1/2026 10:27:39 PM"
"2","21","2","6/1/2026 10:27:39 PM"
"2","31","2","6/1/2026 10:27:39 PM"
"2","34","2","6/1/2026 10:27:39 PM"
"2","42","2","6/1/2026 10:27:39 PM"
"2","51","2","6/1/2026 10:27:39 PM"
"2","52","2","6/1/2026 10:27:39 PM"
"2","57","2","6/1/2026 10:27:39 PM"
"2","62","2","6/1/2026 10:27:39 PM"
"2","66","2","6/1/2026 10:27:39 PM"
"2","72","2","6/1/2026 10:27:39 PM"
"2","83","2","6/1/2026 10:27:39 PM"
"2","92","2","6/1/2026 10:27:39 PM"
"3","4","3","6/1/2026 10:27:39 PM"
"3","5","3","6/1/2026 10:27:39 PM"
"3","10","3","6/1/2026 10:27:39 PM"
"3","14","3","6/1/2026 10:27:39 PM"
"3","19","3","6/1/2026 10:27:39 PM"
"3","25","3","6/1/2026 10:27:39 PM"
"3","35","3","6/1/2026 10:27:39 PM"
"3","45","3","6/1/2026 10:27:39 PM"
"3","55","3","6/1/2026 10:27:39 PM"
"3","56","3","6/1/2026 10:27:39 PM"
"3","61","3","6/1/2026 10:27:39 PM"
"3","64","3","6/1/2026 10:27:39 PM"
"3","70","3","6/1/2026 10:27:39 PM"
"3","76","3","6/1/2026 10:27:39 PM"
"3","86","3","6/1/2026 10:27:39 PM"
"3","95","3","6/1/2026 10:27:39 PM"
"4","6","4","6/1/2026 10:27:39 PM"
"4","9","4","6/1/2026 10:27:39 PM"
"4","13","4","6/1/2026 10:27:39 PM"
"4","60","4","6/1/2026 10:27:39 PM"
"5","12","5","6/1/2026 10:27:39 PM"
"5","16","5","6/1/2026 10:27:39 PM"
"5","40","5","6/1/2026 10:27:39 PM"
"5","63","5","6/1/2026 10:27:39 PM"
"6","15","6","6/1/2026 10:27:39 PM"
"6","20","6","6/1/2026 10:27:39 PM"
"6","24","6","6/1/2026 10:27:39 PM"
"6","65","6","6/1/2026 10:27:39 PM"
"7","18","7","6/1/2026 10:27:39 PM"
"7","23","7","6/1/2026 10:27:39 PM"
"7","58","7","6/1/2026 10:27:39 PM"
"7","69","7","6/1/2026 10:27:39 PM"
"8","22","8","6/1/2026 10:27:39 PM"
"8","27","8","6/1/2026 10:27:39 PM"
"8","67","8","6/1/2026 10:27:39 PM"
"8","73","8","6/1/2026 10:27:39 PM"
"8","78","8","6/1/2026 10:27:39 PM"
"9","26","9","6/1/2026 10:27:39 PM"
"9","30","9","6/1/2026 10:27:39 PM"
"9","71","9","6/1/2026 10:27:39 PM"
"9","77","9","6/1/2026 10:27:39 PM"
"9","82","9","6/1/2026 10:27:39 PM"
"10","29","10","6/1/2026 10:27:39 PM"
"10","33","10","6/1/2026 10:27:39 PM"
"10","75","10","6/1/2026 10:27:39 PM"
"10","81","10","6/1/2026 10:27:39 PM"
"10","85","10","6/1/2026 10:27:39 PM"
"11","32","11","6/1/2026 10:27:39 PM"
"11","37","11","6/1/2026 10:27:39 PM"
"11","79","11","6/1/2026 10:27:39 PM"
"11","84","11","6/1/2026 10:27:39 PM"
"11","88","11","6/1/2026 10:27:39 PM"
"12","36","12","6/1/2026 10:27:39 PM"
"12","41","12","6/1/2026 10:27:39 PM"
"12","87","12","6/1/2026 10:27:39 PM"
"12","91","12","6/1/2026 10:27:39 PM"
"13","39","13","6/1/2026 10:27:39 PM"
"13","44","13","6/1/2026 10:27:39 PM"
"13","90","13","6/1/2026 10:27:39 PM"
"13","94","13","6/1/2026 10:27:39 PM"
"14","43","14","6/1/2026 10:27:39 PM"
"14","47","14","6/1/2026 10:27:39 PM"
"14","93","14","6/1/2026 10:27:39 PM"
"14","97","14","6/1/2026 10:27:39 PM"
"15","46","15","6/1/2026 10:27:39 PM"
"15","50","15","6/1/2026 10:27:39 PM"
"15","96","15","6/1/2026 10:27:39 PM"
"15","100","15","6/1/2026 10:27:39 PM"
